,Unnamed: 0.1,Unnamed: 0,Cityname,Pagerank,Lines,Datetime
0,0,11,西安,0.005417223,321,2019/1/1
1,1,72,重庆,0.005213622,312,2019/1/1
2,2,26,郑州,0.005177572,313,2019/1/1
3,3,8,北京,0.005158393,306,2019/1/1
4,4,14,成都,0.005147518,307,2019/1/1
5,5,3,广州,0.00502604,301,2019/1/1
6,6,153,南阳,0.004882442,300,2019/1/1
7,7,19,天津,0.004864004,291,2019/1/1
8,8,4,苏州,0.004843278,290,2019/1/1
9,9,12,保定,0.004794128,289,2019/1/1
10,10,5,上海,0.004792571,289,2019/1/1
11,11,1,深圳,0.004704573,281,2019/1/1
12,12,45,长沙,0.004680308,286,2019/1/1
13,13,71,邢台,0.004634066,280,2019/1/1
14,14,75,岳阳,0.004608799,283,2019/1/1
15,15,28,武汉,0.004604339,283,2019/1/1
16,16,17,杭州,0.004595541,282,2019/1/1
17,17,147,荆州,0.004586536,282,2019/1/1
18,18,140,济宁,0.004573717,279,2019/1/1
19,19,25,开封,0.004563316,279,2019/1/1
20,20,31,南京,0.004562884,280,2019/1/1
21,21,154,临沂,0.004555347,278,2019/1/1
22,22,0,东莞,0.004527469,274,2019/1/1
23,23,61,石家庄,0.004527056,272,2019/1/1
24,24,32,新乡,0.004501645,274,2019/1/1
25,25,2,佛山,0.004491043,271,2019/1/1
26,26,57,合肥,0.004487558,278,2019/1/1
27,27,213,襄阳,0.004479809,277,2019/1/1
28,28,107,衡水,0.004459386,271,2019/1/1
29,29,66,宁波,0.004456877,267,2019/1/1
30,30,118,常德,0.00445567,275,2019/1/1
31,31,180,驻马店,0.004454154,272,2019/1/1
32,32,53,青岛,0.004446842,267,2019/1/1
33,33,122,邯郸,0.004443112,272,2019/1/1
34,34,144,菏泽,0.004434192,274,2019/1/1
35,35,55,沧州,0.004418611,268,2019/1/1
36,36,51,济南,0.00441822,268,2019/1/1
37,37,10,咸阳,0.004385873,266,2019/1/1
38,38,136,徐州,0.004344848,264,2019/1/1
39,39,48,黄冈,0.004328075,270,2019/1/1
40,40,7,廊坊,0.004316015,262,2019/1/1
41,41,137,商丘,0.004303748,260,2019/1/1
42,42,210,赣州,0.004293937,261,2019/1/1
43,43,86,贵阳,0.004288423,260,2019/1/1
44,44,62,金华,0.004284536,262,2019/1/1
