,Cityname,Pagerank,Lines,Datetime
17,成都,0.004592523188610036,343,2020-04-14
74,重庆,0.004575289343461197,341,2020-04-14
28,郑州,0.004527526821153342,340,2020-04-14
7,西安,0.004459995719933574,332,2020-04-14
190,南阳,0.004427654769628436,334,2020-04-14
43,保定,0.004385170293420575,330,2020-04-14
41,新乡,0.004318751726673166,327,2020-04-14
67,邯郸,0.004292228351080202,327,2020-04-14
96,徐州,0.004259388461611381,325,2020-04-14
3,广州,0.004252468170660077,320,2020-04-14
33,长沙,0.00423310465391549,319,2020-04-14
29,天津,0.004227818941031219,323,2020-04-14
86,聊城,0.004227106571292241,324,2020-04-14
123,衡水,0.004208732282133572,321,2020-04-14
36,济南,0.004207466073760901,320,2020-04-14
189,榆林,0.00420317219600623,318,2020-04-14
57,邢台,0.004200231790385678,320,2020-04-14
62,洛阳,0.004196937537804055,318,2020-04-14
102,临沂,0.004192959411408207,321,2020-04-14
170,驻马店,0.004184411414965026,317,2020-04-14
9,廊坊,0.004184319209474475,317,2020-04-14
56,石家庄,0.004176740746236526,319,2020-04-14
13,杭州,0.00416488243599987,315,2020-04-14
141,商丘,0.004162387741831571,317,2020-04-14
10,北京,0.004158738745880791,315,2020-04-14
48,沧州,0.004153745031935727,315,2020-04-14
76,济宁,0.004153664736037593,319,2020-04-14
196,荆州,0.004147987205269932,314,2020-04-14
44,潍坊,0.004146614729761619,316,2020-04-14
249,襄阳,0.004139031707282786,316,2020-04-14
77,菏泽,0.004137131577887415,318,2020-04-14
154,平顶山,0.004136549626914256,313,2020-04-14
27,开封,0.004134613473607186,316,2020-04-14
34,唐山,0.004112545574681776,311,2020-04-14
6,咸阳,0.004104159948559865,309,2020-04-14
5,上海,0.004099070338869207,312,2020-04-14
99,周口,0.0040940628879852425,313,2020-04-14
4,苏州,0.004090597888239738,311,2020-04-14
54,合肥,0.004083835196835913,310,2020-04-14
171,信阳,0.004082086924784127,312,2020-04-14
35,德州,0.004051582603740886,310,2020-04-14
45,青岛,0.0040403010601284305,307,2020-04-14
49,许昌,0.004025918493421978,310,2020-04-14
38,贵阳,0.004019807188997753,302,2020-04-14
145,南宁,0.004005807168137807,294,2020-04-14
47,武汉,0.0039694611259232515,305,2020-04-14
22,南京,0.003963522237855726,303,2020-04-14
172,常德,0.003962319583802505,303,2020-04-14
93,昆明,0.0039601336232643536,299,2020-04-14
0,东莞,0.003957775461101624,296,2020-04-14
81,黄冈,0.003957693291882068,301,2020-04-14
179,濮阳,0.003956539818797551,305,2020-04-14
2,佛山,0.003948192346470101,296,2020-04-14
37,渭南,0.003947728246547307,295,2020-04-14
148,安阳,0.003942453924714349,302,2020-04-14
71,滨州,0.003936877272327942,298,2020-04-14
263,荆门,0.003932327414395467,302,2020-04-14
100,遵义,0.003931002945942576,296,2020-04-14
73,绵阳,0.003907307140738573,291,2020-04-14
275,随州,0.0039023206899726623,298,2020-04-14
25,晋中,0.003889052133969187,297,2020-04-14
69,焦作,0.003858835812045207,295,2020-04-14
8,无锡,0.003848832492230298,296,2020-04-14
68,岳阳,0.0038366027652477616,294,2020-04-14
136,临汾,0.0038351822061729237,294,2020-04-14
226,三门峡,0.003834332198812288,288,2020-04-14
12,嘉兴,0.003831316776481116,294,2020-04-14
118,商洛,0.0038245403596624834,290,2020-04-14
144,连云港,0.0038219397930911786,292,2020-04-14
221,兰州,0.0038208853601289982,282,2020-04-14
46,孝感,0.003816579912642835,291,2020-04-14
162,达州,0.0038120348483525095,291,2020-04-14
182,汉中,0.003812003800951592,287,2020-04-14
11,惠州,0.0037920496235858345,281,2020-04-14
228,桂林,0.003788823686708385,287,2020-04-14
125,南充,0.0037786267255382963,285,2020-04-14
169,衡阳,0.0037766409966454384,287,2020-04-14
70,淄博,0.003769221741512594,289,2020-04-14
1,深圳,0.003767233072877389,284,2020-04-14
55,六安,0.003766270807020443,288,2020-04-14
53,金华,0.003758797926461146,287,2020-04-14
138,阜阳,0.003757770755377329,285,2020-04-14
183,安康,0.0037423178085347177,284,2020-04-14
128,九江,0.00373291541764007,285,2020-04-14
14,绍兴,0.003728653574531884,284,2020-04-14
88,宜春,0.00372545844179534,286,2020-04-14
250,十堰,0.0037233054011859886,282,2020-04-14
184,延安,0.0037228658258102168,283,2020-04-14
39,黔南布依族苗族,0.0037129155871054456,281,2020-04-14
50,滁州,0.0036951973978139995,284,2020-04-14
135,运城,0.003691666482434992,284,2020-04-14
98,秦皇岛,0.003689311234320844,279,2020-04-14
75,毕节,0.00368769664340939,277,2020-04-14
66,温州,0.0036822184919302796,277,2020-04-14
61,宁波,0.003675259434533878,280,2020-04-14
20,湖州,0.0036707659445967466,281,2020-04-14
108,广安,0.003669166858204464,276,2020-04-14
15,常州,0.0036690677109366453,283,2020-04-14
87,南昌,0.003664273376489278,278,2020-04-14
110,湛江,0.0036633679275773438,272,2020-04-14
58,泉州,0.0036587176058969478,277,2020-04-14
95,宿州,0.0036560280358189437,281,2020-04-14
202,抚州,0.003652532861823918,277,2020-04-14
42,泰安,0.0036493517512528936,278,2020-04-14
256,永州,0.0036474567514860707,275,2020-04-14
24,清远,0.003647112122550515,274,2020-04-14
244,宜昌,0.0036450746215839222,279,2020-04-14
26,太原,0.003632651450940505,274,2020-04-14
107,盐城,0.003631025896645811,276,2020-04-14
104,扬州,0.003629693769610514,278,2020-04-14
130,葫芦岛,0.0036262764582091662,275,2020-04-14
160,张家口,0.0036232442461488967,270,2020-04-14
30,南通,0.003615684491906657,277,2020-04-14
209,赣州,0.0036146457785715506,273,2020-04-14
213,邵阳,0.003592277687142856,272,2020-04-14
114,安庆,0.0035879147497426284,277,2020-04-14
150,福州,0.003587394107494985,270,2020-04-14
59,株洲,0.0035868201666279373,272,2020-04-14
178,泸州,0.0035702861828509043,265,2020-04-14
212,长治,0.003569432304501869,271,2020-04-14
163,遂宁,0.0035681049641056155,265,2020-04-14
60,烟台,0.003563588241617792,270,2020-04-14
224,漯河,0.003562791748996038,273,2020-04-14
193,柳州,0.0035567260288823987,264,2020-04-14
242,怀化,0.003548051321573574,268,2020-04-14
65,台州,0.0035479111187896838,269,2020-04-14
92,曲靖,0.0035443158624352466,270,2020-04-14
236,郴州,0.003541132994929283,269,2020-04-14
16,德阳,0.003535014615062098,263,2020-04-14
129,锦州,0.0035305308849912977,265,2020-04-14
137,亳州,0.003528141514970798,270,2020-04-14
101,日照,0.003527685578295559,271,2020-04-14
120,宝鸡,0.0035173288303387944,260,2020-04-14
191,鄂尔多斯,0.0035134283563950045,265,2020-04-14
304,酒泉,0.0035129888139795304,260,2020-04-14
161,韶关,0.003504196629608579,264,2020-04-14
89,淮安,0.003500204047457456,266,2020-04-14
215,铜仁,0.003489345828396704,265,2020-04-14
32,湘潭,0.0034839173842672842,265,2020-04-14
83,益阳,0.0034760437241474016,266,2020-04-14
234,恩施土家族苗族,0.00347157140481069,265,2020-04-14
116,沈阳,0.0034607993509100507,260,2020-04-14
119,吕梁,0.0034533650507753482,260,2020-04-14
124,东营,0.0034484219050056877,259,2020-04-14
302,平凉,0.0034424062133574258,250,2020-04-14
165,上饶,0.0034413779475686067,262,2020-04-14
18,眉山,0.0034393219897558896,254,2020-04-14
21,镇江,0.003434151739514814,263,2020-04-14
72,泰州,0.003429692456070916,263,2020-04-14
243,湘西土家族苗族,0.0034252538262061396,261,2020-04-14
147,鹤壁,0.0034236043120064617,260,2020-04-14
177,黔东南苗族侗族,0.003417273411007753,255,2020-04-14
187,咸宁,0.0034166765365821906,261,2020-04-14
90,宿迁,0.0034152961439937405,261,2020-04-14
132,衢州,0.0034137589274801025,260,2020-04-14
233,池州,0.003374646900908102,257,2020-04-14
225,承德,0.0033738714556621873,251,2020-04-14
204,六盘水,0.0033709673690409843,255,2020-04-14
143,银川,0.0033692563659971815,252,2020-04-14
78,安顺,0.0033654987795133356,256,2020-04-14
164,盘锦,0.0033628229469625315,253,2020-04-14
112,哈尔滨,0.003358356702443193,248,2020-04-14
40,肇庆,0.0033536923094546547,246,2020-04-14
220,定西,0.0033520390284013674,245,2020-04-14
222,广元,0.003349745541147261,246,2020-04-14
208,吉安,0.003347336483785407,253,2020-04-14
195,宜宾,0.003344983024303475,252,2020-04-14
305,哈密,0.0033241955632749573,236,2020-04-14
289,天水,0.0033241366678354546,243,2020-04-14
103,马鞍山,0.0033228574235889324,255,2020-04-14
19,中山,0.0033215036742637186,248,2020-04-14
142,吴忠,0.003307732510329014,240,2020-04-14
216,呼和浩特,0.00330332253920993,244,2020-04-14
140,蚌埠,0.003300491294706719,251,2020-04-14
223,黄石,0.003292216660284031,248,2020-04-14
109,茂名,0.0032832714001076553,243,2020-04-14
139,枣庄,0.0032830921596214164,249,2020-04-14
260,中卫,0.0032741954246443532,240,2020-04-14
229,昭通,0.0032567885355440007,245,2020-04-14
131,芜湖,0.0032452824908152595,247,2020-04-14
133,忻州,0.0032373932855264834,241,2020-04-14
167,娄底,0.0032274125546693207,245,2020-04-14
174,百色,0.003214029882269245,234,2020-04-14
247,黔西南布依族苗族,0.00319992629801385,240,2020-04-14
181,大同,0.003196019686373031,236,2020-04-14
197,宣城,0.003195263535983597,244,2020-04-14
149,内江,0.0031876811911374266,236,2020-04-14
185,自贡,0.0031857898297073953,231,2020-04-14
207,仙桃,0.003184586404113711,243,2020-04-14
79,乌鲁木齐,0.003167238770034676,223,2020-04-14
214,晋城,0.003166439444479417,242,2020-04-14
94,资阳,0.003159362274240728,235,2020-04-14
31,江门,0.0031463350081740657,230,2020-04-14
318,固原,0.003136485393102629,228,2020-04-14
264,三明,0.0031333223076759724,239,2020-04-14
111,淮南,0.003130456746046937,236,2020-04-14
259,赤峰,0.0031287914102488485,231,2020-04-14
255,巴中,0.003125079833150808,233,2020-04-14
298,武威,0.003116959368848548,229,2020-04-14
85,长春,0.00309836761043651,228,2020-04-14
303,张掖,0.0030977994390261974,224,2020-04-14
274,梧州,0.003089581158461527,227,2020-04-14
245,白银,0.003086324848959686,222,2020-04-14
51,厦门,0.0030797954324927853,233,2020-04-14
203,大理白族,0.003064422739773593,226,2020-04-14
158,楚雄彝族,0.003063787709172332,229,2020-04-14
52,漳州,0.003052096001896617,230,2020-04-14
251,南平,0.0030455071689369896,232,2020-04-14
