,Cityname,Pagerank,Lines,Datetime
47,重庆,0.00838835,240,2022/12/30
4,北京,0.007915558,211,2022/12/30
19,天津,0.007700666,204,2022/12/30
7,西安,0.007664399,220,2022/12/30
181,南阳,0.007368351,219,2022/12/30
0,广州,0.007194901,209,2022/12/30
23,武汉,0.007185733,213,2022/12/30
17,保定,0.006988726,193,2022/12/30
8,苏州,0.006974509,207,2022/12/30
12,成都,0.006884394,186,2022/12/30
40,长沙,0.006878045,206,2022/12/30
37,合肥,0.006876242,209,2022/12/30
16,杭州,0.006717526,205,2022/12/30
32,郑州,0.006604592,195,2022/12/30
9,上海,0.006591447,199,2022/12/30
70,沧州,0.00651279,179,2022/12/30
76,金华,0.006470589,195,2022/12/30
58,岳阳,0.006397097,191,2022/12/30
30,黄冈,0.006277169,194,2022/12/30
170,临沂,0.006266261,178,2022/12/30
49,石家庄,0.006225085,177,2022/12/30
5,廊坊,0.006213496,168,2022/12/30
48,唐山,0.006174638,159,2022/12/30
126,衡阳,0.006167209,179,2022/12/30
176,驻马店,0.006146722,182,2022/12/30
97,安庆,0.006040472,184,2022/12/30
207,赣州,0.006018512,184,2022/12/30
3,深圳,0.006011939,176,2022/12/30
182,襄阳,0.006009625,178,2022/12/30
2,东莞,0.005988131,178,2022/12/30
14,无锡,0.005980203,182,2022/12/30
202,抚州,0.005866749,179,2022/12/30
42,南京,0.005857397,178,2022/12/30
15,嘉兴,0.005817585,177,2022/12/30
45,济南,0.005817188,172,2022/12/30
186,上饶,0.005785467,174,2022/12/30
88,宁波,0.00575764,176,2022/12/30
94,湛江,0.005736238,143,2022/12/30
188,荆门,0.005733979,172,2022/12/30
177,信阳,0.005731322,175,2022/12/30
96,荆州,0.005721916,169,2022/12/30
91,九江,0.005710154,177,2022/12/30
6,咸阳,0.005689923,162,2022/12/30
142,南宁,0.005683068,153,2022/12/30
31,开封,0.005664792,170,2022/12/30
139,温州,0.005649269,172,2022/12/30
50,潍坊,0.005612132,156,2022/12/30
78,南昌,0.005611914,173,2022/12/30
111,菏泽,0.005555373,169,2022/12/30
24,孝感,0.005551122,168,2022/12/30
20,清远,0.00548255,163,2022/12/30
1,佛山,0.005472949,161,2022/12/30
79,宜春,0.005472129,167,2022/12/30
66,滁州,0.005445801,168,2022/12/30
51,青岛,0.005443535,151,2022/12/30
239,桂林,0.005418634,160,2022/12/30
10,惠州,0.005384168,159,2022/12/30
26,常州,0.005378778,164,2022/12/30
77,邯郸,0.005367711,155,2022/12/30
132,常德,0.005352053,159,2022/12/30
18,绍兴,0.005329425,164,2022/12/30
67,邢台,0.005321551,154,2022/12/30
208,吉安,0.005307061,160,2022/12/30
90,咸宁,0.005284344,161,2022/12/30
38,六安,0.005265545,163,2022/12/30
33,新乡,0.005224301,156,2022/12/30
92,周口,0.005186813,158,2022/12/30
36,湖州,0.005164914,160,2022/12/30
46,德州,0.005137356,146,2022/12/30
159,衡水,0.005090074,145,2022/12/30
255,怀化,0.005082264,148,2022/12/30
193,衢州,0.005045085,155,2022/12/30
52,洛阳,0.004977698,147,2022/12/30
225,宜昌,0.004977137,151,2022/12/30
228,永州,0.004934914,138,2022/12/30
104,遵义,0.004928845,132,2022/12/30
106,徐州,0.00489083,148,2022/12/30
138,台州,0.004880555,150,2022/12/30
120,沈阳,0.004856856,110,2022/12/30
140,商丘,0.004851984,147,2022/12/30
53,南通,0.004820487,148,2022/12/30
154,平顶山,0.004806609,144,2022/12/30
69,株洲,0.004800814,143,2022/12/30
107,滨州,0.004800378,128,2022/12/30
54,许昌,0.004793219,142,2022/12/30
127,聊城,0.004784012,140,2022/12/30
116,韶关,0.004771231,142,2022/12/30
